scheme_name,fund_house,category,risk_category,return_5yr_pct,aum_crore,expense_ratio_pct,morningstar_rating,latest_nav
SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Moderate,14.45,14288,1.54,4,149.3216
SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Moderate,14.23,1231,0.66,3,137.7323
SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Very High,20.67,19259,1.43,5,309.205
SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Very High,21.82,36061,0.72,4,105.4849
SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Low,5.43,24101,0.77,5,54.2038
HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Moderate,11.32,6434,1.55,5,583.6113
HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Moderate,13.48,10611,0.92,4,1204.9571
HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,High,17.69,23185,1.38,5,342.0072
HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,High,15.85,18792,0.78,4,188.3619
HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Low,6.41,27953,0.56,3,31.8843
ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Moderate,11.46,36022,1.42,4,118.1496
ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Moderate,13.02,41553,0.8,3,151.1311
ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,High,17.55,979,1.36,3,473.764
ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Moderately High,12.6,2571,1.41,4,404.4207
ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Low,7.94,39116,0.74,5,388.5939
Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Moderate,14.7,20909,1.51,4,110.5554
Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Moderate,14.72,39475,0.72,3,91.601
Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Very High,21.88,43630,1.53,4,134.6683
Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Moderate,12.31,20284,0.89,5,326.7508
Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Low,8.71,30030,0.55,4,37.8243
Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderate,13.42,35585,1.59,3,482.127
Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,High,17.75,47469,1.56,4,82.6457
Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderately High,13.5,35012,1.45,5,163.2397
Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Low,8.26,27623,0.6,3,4268.5497
Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Moderate,14.14,25803,1.64,4,50.8387
Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Moderate,13.66,15866,0.75,4,58.4203
Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,High,18.94,28996,1.38,5,203.8581
Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Very High,22.62,21545,1.38,4,56.1319
ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Moderate,12.86,23500,1.6,5,773.2939
ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Very High,23.8,41613,1.53,5,53.9836
ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Low,7.95,38995,0.79,5,410.1021
UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Moderate,11.31,7350,1.57,4,187.7797
UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,High,15.86,41728,1.51,5,125.564
UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Moderately High,15.78,17912,1.64,5,378.9657
Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Moderate,12.68,11361,1.46,5,230.2708
Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Moderately High,15.68,49046,1.52,5,205.451
Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,High,14.26,2989,1.6,5,97.7435
DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Moderate,12.35,41828,1.54,5,606.2349
DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,High,19.0,37835,1.61,4,245.3651
DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Very High,20.61,35124,1.52,4,279.7511
