amfi_code,date,nav
119551,2026-05-29,149.3216
119552,2026-05-29,137.7323
119598,2026-05-29,309.205
119599,2026-05-29,105.4849
119120,2026-05-29,54.2038
100016,2026-05-29,583.6113
125497,2026-05-29,1204.9571
100033,2026-05-29,342.0072
125498,2026-05-29,188.3619
100025,2026-05-29,31.8843
120503,2026-05-29,118.1496
120504,2026-05-29,151.1311
120505,2026-05-29,473.764
120506,2026-05-29,404.4207
120507,2026-05-29,388.5939
118632,2026-05-29,110.5554
118633,2026-05-29,91.601
118634,2026-05-29,134.6683
118635,2026-05-29,326.7508
118636,2026-05-29,37.8243
120841,2026-05-29,482.127
120842,2026-05-29,82.6457
120843,2026-05-29,163.2397
120844,2026-05-29,4268.5497
119092,2026-05-29,50.8387
119093,2026-05-29,58.4203
119094,2026-05-29,203.8581
119095,2026-05-29,56.1319
101206,2026-05-29,773.2939
101207,2026-05-29,53.9836
101208,2026-05-29,410.1021
102885,2026-05-29,187.7797
102886,2026-05-29,125.564
102887,2026-05-29,378.9657
148567,2026-05-29,230.2708
148568,2026-05-29,205.451
148569,2026-05-29,97.7435
149322,2026-05-29,606.2349
149323,2026-05-29,245.3651
149324,2026-05-29,279.7511
