amfi_code,scheme_name,fund_house,category,risk_category,return_1yr_pct,return_3yr_pct,return_5yr_pct,sharpe_ratio,expense_ratio_pct,aum_crore,morningstar_rating
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Moderate,12.42,12.36,14.45,0.88,1.54,14288,4
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Moderate,15.25,11.3,14.23,0.81,0.66,1231,3
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Very High,24.56,23.39,20.67,0.94,1.43,19259,5
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Very High,20.59,23.14,21.82,0.93,0.72,36061,4
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Low,5.34,6.07,5.43,1.52,0.77,24101,5
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Moderate,10.94,14.84,11.32,1.06,1.55,6434,5
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Moderate,11.48,13.38,13.48,0.96,0.92,10611,4
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,High,15.43,16.58,17.69,0.87,1.38,23185,5
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,High,19.98,15.29,15.85,0.8,0.78,18792,4
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Low,6.83,7.37,6.41,1.84,0.56,27953,3
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Moderate,15.63,11.54,11.46,0.82,1.42,36022,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Moderate,14.12,14.41,13.02,1.03,0.8,41553,3
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,High,14.02,18.08,17.55,0.95,1.36,979,3
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Moderately High,16.67,14.76,12.6,0.98,1.41,2571,4
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Low,8.89,7.68,7.94,7.68,0.74,39116,5
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Moderate,15.84,14.0,14.7,1.0,1.51,20909,4
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Moderate,14.42,12.33,14.72,0.88,0.72,39475,3
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Very High,21.3,20.15,21.88,0.81,1.53,43630,4
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Moderate,10.14,11.77,12.31,0.91,0.89,20284,5
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Low,6.19,5.31,8.71,1.33,0.55,30030,4
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderate,14.37,12.25,13.42,0.87,1.59,35585,3
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,High,17.12,18.23,17.75,0.96,1.56,47469,4
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderately High,15.74,15.65,13.5,0.98,1.45,35012,5
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Low,4.26,6.18,8.26,6.18,0.6,27623,3
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Moderate,11.82,11.84,14.14,0.85,1.64,25803,4
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Moderate,13.95,12.14,13.66,0.87,0.75,15866,4
